u,v,l1,l2
0,2,7,0
0,3,7,5
0,4,7,6
0,8,7,9
0,9,7,5
0,10,7,9
0,11,7,0
0,12,7,0
0,13,7,6
0,14,7,3
0,16,7,0
0,17,7,2
0,20,7,8
0,23,7,1
0,24,7,9
0,26,7,3
0,27,7,7
0,28,7,6
0,33,7,5
0,35,7,1
0,42,7,2
0,43,7,8
0,44,7,8
0,45,7,8
0,46,7,7
0,47,7,7
0,48,7,1
0,50,7,9
0,51,7,9
0,52,7,7
0,53,7,3
0,57,7,3
0,59,7,6
0,60,7,2
0,67,7,1
0,68,7,8
0,69,7,9
0,70,7,2
0,71,7,7
0,74,7,3
0,76,7,4
0,78,7,2
0,79,7,2
0,80,7,3
0,82,7,5
0,85,7,8
0,86,7,4
0,88,7,8
0,89,7,6
0,90,7,8
0,91,7,2
0,94,7,9
0,95,7,9
0,96,7,6
0,98,7,0
0,101,7,8
0,104,7,1
0,105,7,5
0,107,7,8
0,108,7,4
0,109,7,7
0,112,7,1
0,113,7,5
0,114,7,0
0,117,7,5
0,120,7,8
0,122,7,4
0,124,7,2
0,125,7,5
0,126,7,6
0,127,7,2
0,131,7,5
0,132,7,6
0,135,7,4
0,136,7,5
0,137,7,1
0,140,7,4
0,141,7,3
0,142,7,6
0,143,7,0
0,145,7,6
0,146,7,5
0,147,7,0
0,149,7,5
0,150,7,6
0,153,7,3
0,154,7,2
0,155,7,1
0,156,7,4
0,157,7,0
0,159,7,2
0,160,7,4
0,161,7,6
0,163,7,1
0,166,7,6
0,167,7,8
0,169,7,0
0,170,7,1
0,173,7,6
0,176,7,0
0,177,7,0
0,178,7,8
0,179,7,8
0,180,7,2
0,184,7,1
0,185,7,7
0,186,7,6
0,188,7,8
0,189,7,0
0,190,7,0
0,191,7,4
0,192,7,9
0,193,7,5
0,195,7,5
0,198,7,4
0,204,7,6
0,205,7,4
0,206,7,1
0,207,7,4
0,208,7,0
0,209,7,3
0,211,7,5
0,213,7,9
0,214,7,9
0,219,7,4
0,220,7,6
0,223,7,1
0,225,7,8
0,227,7,8
0,229,7,9
0,231,7,3
0,232,7,2
0,235,7,9
0,236,7,1
0,238,7,2
0,241,7,1
0,243,7,4
0,245,7,8
0,247,7,9
0,248,7,7
0,250,7,2
0,251,7,1
0,253,7,9
0,254,7,3
0,257,7,8
0,258,7,4
0,259,7,9
0,263,7,3
0,264,7,7
0,270,7,0
0,272,7,4
0,275,7,5
0,276,7,3
0,277,7,7
0,279,7,9
0,282,7,8
0,284,7,7
0,285,7,3
0,288,7,4
0,289,7,6
0,290,7,5
0,291,7,9
0,294,7,0
0,297,7,1
0,298,7,5
0,299,7,1
0,302,7,3
0,305,7,3
0,306,7,2
0,307,7,3
0,312,7,2
0,313,7,3
0,314,7,8
0,317,7,0
0,319,7,5
0,325,7,6
0,327,7,2
0,332,7,8
0,334,7,9
0,337,7,9
0,339,7,5
0,340,7,5
0,342,7,4
0,343,7,8
0,344,7,6
0,345,7,4
0,348,7,8
0,350,7,7
0,352,7,6
0,354,7,3
0,356,7,5
0,358,7,8
0,359,7,3
0,360,7,1
0,362,7,3
0,364,7,7
0,365,7,7
0,367,7,5
0,369,7,0
0,371,7,7
0,375,7,4
0,376,7,9
0,378,7,5
0,379,7,3
0,382,7,1
0,383,7,0
0,384,7,4
0,385,7,4
0,386,7,0
0,387,7,6
0,388,7,5
0,393,7,9
0,394,7,2
0,395,7,3
0,396,7,9
0,397,7,8
0,400,7,9
0,401,7,2
0,402,7,6
0,403,7,8
0,406,7,9
0,407,7,4
0,408,7,3
0,410,7,0
0,414,7,8
0,415,7,9
0,416,7,6
0,417,7,4
0,418,7,4
0,420,7,6
0,421,7,2
0,423,7,0
0,425,7,4
0,426,7,5
0,428,7,3
0,431,7,7
0,432,7,0
0,433,7,7
0,435,7,6
0,436,7,0
0,437,7,5
0,439,7,6
0,448,7,8
0,450,7,7
0,453,7,2
0,454,7,0
0,455,7,1
0,458,7,4
0,460,7,6
0,461,7,7
0,462,7,6
0,463,7,5
0,464,7,0
0,465,7,3
0,466,7,4
0,467,7,4
0,470,7,9
0,471,7,8
0,472,7,6
0,473,7,5
0,474,7,6
0,475,7,1
0,481,7,0
0,482,7,5
0,483,7,9
0,487,7,0
0,489,7,7
0,491,7,4
0,492,7,4
0,493,7,8
0,494,7,9
0,495,7,9
0,497,7,7
0,498,7,1
0,499,7,9
0,500,7,1
0,502,7,1
0,503,7,4
0,505,7,1
0,507,7,0
0,508,7,9
0,509,7,8
0,510,7,7
0,511,7,5
0,512,7,5
0,514,7,3
0,517,7,8
0,518,7,2
0,519,7,8
0,520,7,8
0,522,7,1
0,528,7,7
0,529,7,9
0,530,7,3
0,531,7,3
0,534,7,5
0,537,7,9
0,540,7,8
0,543,7,5
0,544,7,4
0,545,7,4
0,548,7,6
1,2,5,0
1,5,5,3
1,9,5,5
1,12,5,0
1,13,5,6
1,14,5,3
1,15,5,0
1,16,5,0
1,19,5,6
1,24,5,9
1,27,5,7
1,29,5,7
1,30,5,1
1,31,5,7
1,33,5,5
1,36,5,3
1,38,5,6
1,39,5,8
1,41,5,4
1,42,5,2
1,44,5,8
1,45,5,8
1,47,5,7
1,50,5,9
1,51,5,9
1,53,5,3
1,55,5,6
1,59,5,6
1,61,5,0
1,62,5,1
1,64,5,7
1,66,5,6
1,67,5,1
1,68,5,8
1,70,5,2
1,72,5,4
1,73,5,8
1,74,5,3
1,75,5,2
1,76,5,4
1,77,5,8
1,79,5,2
1,80,5,3
1,81,5,4
1,84,5,5
1,85,5,8
1,86,5,4
1,87,5,7
1,88,5,8
1,89,5,6
1,90,5,8
1,91,5,2
1,92,5,4
1,96,5,6
1,98,5,0
1,101,5,8
1,102,5,7
1,103,5,0
1,104,5,1
1,106,5,9
1,108,5,4
1,109,5,7
1,111,5,3
1,112,5,1
1,114,5,0
1,116,5,9
1,120,5,8
1,121,5,9
1,122,5,4
1,123,5,8
1,126,5,6
1,131,5,5
1,132,5,6
1,134,5,1
1,135,5,4
1,136,5,5
1,137,5,1
1,138,5,4
1,140,5,4
1,141,5,3
1,144,5,8
1,151,5,0
1,152,5,1
1,156,5,4
1,157,5,0
1,158,5,3
1,161,5,6
1,162,5,3
1,166,5,6
1,167,5,8
1,168,5,2
1,169,5,0
1,170,5,1
1,171,5,8
1,172,5,0
1,173,5,6
1,180,5,2
1,181,5,8
1,183,5,2
1,186,5,6
1,189,5,0
1,190,5,0
1,191,5,4
1,192,5,9
1,195,5,5
1,197,5,1
1,201,5,0
1,202,5,9
1,203,5,6
1,205,5,4
1,206,5,1
1,209,5,3
1,210,5,7
1,211,5,5
1,212,5,6
1,216,5,9
1,217,5,9
1,219,5,4
1,221,5,7
1,224,5,4
1,225,5,8
1,228,5,4
1,231,5,3
1,232,5,2
1,234,5,8
1,236,5,1
1,237,5,7
1,240,5,2
1,242,5,2
1,244,5,7
1,247,5,9
1,249,5,8
1,251,5,1
1,253,5,9
1,254,5,3
1,257,5,8
1,258,5,4
1,259,5,9
1,260,5,1
1,262,5,5
1,263,5,3
1,264,5,7
1,265,5,7
1,268,5,6
1,270,5,0
1,274,5,3
1,278,5,9
1,279,5,9
1,280,5,9
1,284,5,7
1,285,5,3
1,286,5,4
1,288,5,4
1,290,5,5
1,291,5,9
1,293,5,3
1,299,5,1
1,300,5,4
1,304,5,1
1,305,5,3
1,310,5,1
1,311,5,8
1,314,5,8
1,317,5,0
1,319,5,5
1,320,5,4
1,321,5,7
1,322,5,4
1,325,5,6
1,326,5,7
1,329,5,5
1,331,5,0
1,332,5,8
1,333,5,4
1,334,5,9
1,335,5,4
1,339,5,5
1,340,5,5
1,341,5,2
1,344,5,6
1,345,5,4
1,347,5,8
1,348,5,8
1,349,5,8
1,350,5,7
1,354,5,3
1,357,5,1
1,361,5,4
1,363,5,2
1,365,5,7
1,368,5,4
1,378,5,5
1,379,5,3
1,382,5,1
1,383,5,0
1,385,5,4
1,386,5,0
1,387,5,6
1,389,5,1
1,392,5,3
1,394,5,2
1,397,5,8
1,398,5,5
1,400,5,9
1,407,5,4
1,409,5,3
1,410,5,0
1,411,5,8
1,417,5,4
1,418,5,4
1,419,5,9
1,423,5,0
1,424,5,2
1,427,5,2
1,428,5,3
1,429,5,1
1,431,5,7
1,432,5,0
1,433,5,7
1,435,5,6
1,436,5,0
1,440,5,7
1,442,5,9
1,443,5,3
1,444,5,2
1,445,5,1
1,446,5,4
1,448,5,8
1,449,5,2
1,450,5,7
1,453,5,2
1,455,5,1
1,457,5,4
1,458,5,4
1,459,5,7
1,460,5,6
1,462,5,6
1,466,5,4
1,468,5,3
1,469,5,5
1,471,5,8
1,473,5,5
1,474,5,6
1,476,5,6
1,477,5,5
1,479,5,9
1,481,5,0
1,482,5,5
1,483,5,9
1,484,5,1
1,486,5,2
1,487,5,0
1,489,5,7
1,490,5,1
1,491,5,4
1,492,5,4
1,494,5,9
1,496,5,2
1,498,5,1
1,499,5,9
1,500,5,1
1,502,5,1
1,505,5,1
1,506,5,7
1,508,5,9
1,509,5,8
1,510,5,7
1,512,5,5
1,514,5,3
1,515,5,7
1,517,5,8
1,518,5,2
1,520,5,8
1,521,5,8
1,523,5,0
1,524,5,1
1,526,5,4
1,532,5,3
1,533,5,9
1,534,5,5
1,535,5,9
1,536,5,1
1,537,5,9
1,538,5,7
1,539,5,4
1,541,5,9
1,542,5,8
1,544,5,4
1,546,5,5
1,547,5,3
2,6,0,9
2,7,0,1
2,8,0,9
2,15,0,0
2,17,0,2
2,19,0,6
2,20,0,8
2,22,0,9
2,31,0,7
2,34,0,3
2,35,0,1
2,37,0,2
2,38,0,6
2,39,0,8
2,42,0,2
2,43,0,8
2,45,0,8
2,47,0,7
2,48,0,1
2,49,0,4
2,50,0,9
2,54,0,9
2,55,0,6
2,56,0,4
2,59,0,6
2,61,0,0
2,62,0,1
2,63,0,1
2,65,0,9
2,66,0,6
2,67,0,1
2,69,0,9
2,71,0,7
2,72,0,4
2,74,0,3
2,75,0,2
2,76,0,4
2,77,0,8
2,78,0,2
2,79,0,2
2,80,0,3
2,82,0,5
2,83,0,8
2,85,0,8
2,88,0,8
2,90,0,8
2,91,0,2
2,97,0,8
2,98,0,0
2,99,0,3
2,100,0,0
2,105,0,5
2,107,0,8
2,109,0,7
2,110,0,4
2,111,0,3
2,112,0,1
2,113,0,5
2,114,0,0
2,115,0,2
2,116,0,9
2,117,0,5
2,119,0,1
2,123,0,8
2,124,0,2
2,125,0,5
2,129,0,5
2,131,0,5
2,134,0,1
2,141,0,3
2,142,0,6
2,143,0,0
2,144,0,8
2,145,0,6
2,146,0,5
2,147,0,0
2,148,0,4
2,149,0,5
2,150,0,6
2,152,0,1
2,156,0,4
2,157,0,0
2,161,0,6
2,164,0,7
2,165,0,8
2,166,0,6
2,167,0,8
2,168,0,2
2,170,0,1
2,172,0,0
2,173,0,6
2,174,0,6
2,175,0,2
2,176,0,0
2,177,0,0
2,178,0,8
2,179,0,8
2,180,0,2
2,181,0,8
2,182,0,1
2,186,0,6
2,187,0,7
2,189,0,0
2,194,0,5
2,196,0,3
2,197,0,1
2,200,0,6
2,203,0,6
2,204,0,6
2,211,0,5
2,213,0,9
2,214,0,9
2,215,0,1
2,216,0,9
2,217,0,9
2,219,0,4
2,220,0,6
2,221,0,7
2,222,0,0
2,224,0,4
2,228,0,4
2,229,0,9
2,231,0,3
2,232,0,2
2,233,0,2
2,237,0,7
2,238,0,2
2,239,0,8
