Number of vertices 500
u,v,l1,l2
0,2,6,5
0,3,6,9
0,4,6,5
0,8,6,6
0,9,6,8
0,10,6,4
0,11,6,3
0,12,6,3
0,13,6,0
0,14,6,8
0,16,6,0
0,17,6,7
0,20,6,0
0,23,6,5
0,24,6,0
0,26,6,6
0,27,6,3
0,28,6,3
0,33,6,8
0,35,6,4
0,42,6,0
0,43,6,1
0,44,6,9
0,45,6,8
0,46,6,8
0,47,6,3
0,48,6,4
0,50,6,1
0,51,6,3
0,52,6,6
0,53,6,2
0,57,6,9
0,59,6,0
0,60,6,4
0,67,6,7
0,68,6,8
0,69,6,9
0,70,6,7
0,71,6,8
0,74,6,1
0,76,6,4
0,78,6,9
0,79,6,8
0,80,6,8
0,82,6,2
0,85,6,1
0,86,6,5
0,88,6,3
0,89,6,9
0,90,6,8
0,91,6,5
0,94,6,1
0,95,6,5
0,96,6,6
0,98,6,6
0,101,6,4
0,104,6,4
0,105,6,1
0,107,6,6
0,108,6,9
0,109,6,2
0,112,6,0
0,113,6,1
0,114,6,7
0,117,6,5
0,120,6,7
0,122,6,9
0,124,6,7
0,125,6,4
0,126,6,4
0,127,6,0
0,131,6,2
0,132,6,3
0,135,6,6
0,136,6,0
0,137,6,3
0,140,6,1
0,141,6,3
0,142,6,3
0,143,6,0
0,145,6,6
0,146,6,1
0,147,6,9
0,149,6,5
0,150,6,4
0,153,6,0
0,154,6,6
0,155,6,0
0,156,6,8
0,157,6,5
0,159,6,6
0,160,6,9
0,161,6,5
0,163,6,9
0,166,6,5
0,167,6,5
0,169,6,4
0,170,6,2
0,173,6,5
0,176,6,6
0,177,6,0
0,178,6,7
0,179,6,2
0,180,6,5
0,184,6,7
0,185,6,7
0,186,6,9
0,188,6,9
0,189,6,8
0,190,6,8
0,191,6,4
0,192,6,2
0,193,6,6
0,195,6,5
0,198,6,7
0,204,6,0
0,205,6,0
0,206,6,9
0,207,6,8
0,208,6,2
0,209,6,9
0,211,6,9
0,213,6,6
0,214,6,7
0,219,6,4
0,220,6,8
0,223,6,2
0,225,6,5
0,227,6,2
0,229,6,3
0,231,6,5
0,232,6,4
0,235,6,8
0,236,6,5
0,238,6,7
0,241,6,5
0,243,6,1
0,245,6,3
0,247,6,6
0,248,6,6
0,250,6,7
0,251,6,3
0,253,6,6
0,254,6,4
0,257,6,6
0,258,6,5
0,259,6,0
0,263,6,6
0,264,6,2
0,270,6,7
0,272,6,8
0,275,6,7
0,276,6,0
0,277,6,5
0,279,6,3
0,282,6,2
0,284,6,9
0,285,6,6
0,288,6,9
0,289,6,4
0,290,6,8
0,291,6,8
0,294,6,8
0,297,6,2
0,298,6,4
0,299,6,3
0,302,6,2
0,305,6,1
0,306,6,7
0,307,6,6
0,312,6,2
0,313,6,2
0,314,6,4
0,317,6,9
0,319,6,9
0,325,6,1
0,327,6,2
0,332,6,5
0,334,6,8
0,337,6,8
0,339,6,7
0,340,6,8
0,342,6,8
0,343,6,6
0,344,6,2
0,345,6,6
0,348,6,3
0,350,6,8
0,352,6,3
0,354,6,7
0,356,6,2
0,358,6,0
0,359,6,2
0,360,6,6
0,362,6,7
0,364,6,0
0,365,6,2
0,367,6,0
0,369,6,5
0,371,6,2
0,375,6,3
0,376,6,9
0,378,6,0
0,379,6,5
0,382,6,5
0,383,6,6
0,384,6,6
0,385,6,3
0,386,6,4
0,387,6,8
0,388,6,6
0,393,6,3
0,394,6,1
0,395,6,6
0,396,6,2
0,397,6,1
0,400,6,1
0,401,6,9
0,402,6,6
0,403,6,8
0,406,6,7
0,407,6,6
0,408,6,9
0,410,6,9
0,414,6,4
0,415,6,7
0,416,6,6
0,417,6,7
0,418,6,1
0,420,6,8
0,421,6,8
0,423,6,7
0,425,6,8
0,426,6,5
0,428,6,0
0,431,6,6
0,432,6,7
0,433,6,0
0,435,6,7
0,436,6,2
0,437,6,0
0,439,6,0
0,448,6,9
0,450,6,3
0,453,6,1
0,454,6,3
0,455,6,0
0,458,6,5
0,460,6,5
0,461,6,9
0,462,6,5
0,463,6,9
0,464,6,7
0,465,6,7
0,466,6,5
0,467,6,1
0,470,6,4
0,471,6,8
0,472,6,8
0,473,6,2
0,474,6,3
0,475,6,5
0,481,6,4
0,482,6,0
0,483,6,7
0,487,6,9
0,489,6,1
0,491,6,4
0,492,6,7
0,493,6,4
0,494,6,3
0,495,6,3
0,497,6,4
0,498,6,8
0,499,6,3
1,2,0,5
1,4,0,5
1,5,0,8
1,7,0,3
1,9,0,8
1,10,0,4
1,11,0,3
1,12,0,3
1,13,0,0
1,14,0,8
1,16,0,0
1,19,0,6
1,20,0,0
1,21,0,0
1,22,0,1
1,24,0,0
1,30,0,0
1,31,0,1
1,32,0,8
1,33,0,8
1,36,0,0
1,39,0,1
1,42,0,0
1,45,0,8
1,46,0,8
1,47,0,3
1,50,0,1
1,52,0,6
1,55,0,1
1,59,0,0
1,62,0,6
1,63,0,1
1,64,0,2
1,65,0,5
1,66,0,8
1,69,0,9
1,74,0,1
1,77,0,1
1,79,0,8
1,80,0,8
1,81,0,6
1,83,0,6
1,86,0,5
1,88,0,3
1,89,0,9
1,91,0,5
1,92,0,9
1,94,0,1
1,95,0,5
1,97,0,0
1,100,0,3
1,101,0,4
1,103,0,1
1,105,0,1
1,109,0,2
1,111,0,7
1,112,0,0
1,114,0,7
1,116,0,5
1,117,0,5
1,118,0,8
1,120,0,7
1,122,0,9
1,123,0,8
1,124,0,7
1,125,0,4
1,126,0,4
1,127,0,0
1,129,0,3
1,130,0,5
1,131,0,2
1,134,0,6
1,135,0,6
1,136,0,0
1,137,0,3
1,138,0,9
1,139,0,2
1,140,0,1
1,141,0,3
1,142,0,3
1,146,0,1
1,148,0,9
1,151,0,7
1,152,0,0
1,153,0,0
1,154,0,6
1,156,0,8
1,158,0,9
1,159,0,6
1,161,0,5
1,162,0,7
1,164,0,3
1,166,0,5
1,170,0,2
1,171,0,8
1,172,0,6
1,173,0,5
1,176,0,6
1,181,0,9
1,182,0,0
1,184,0,7
1,185,0,7
1,186,0,9
1,187,0,3
1,188,0,9
1,190,0,8
1,191,0,4
1,194,0,9
1,201,0,1
1,202,0,0
1,206,0,9
1,207,0,8
1,208,0,2
1,211,0,9
1,212,0,3
1,216,0,9
1,217,0,1
1,218,0,9
1,219,0,4
1,220,0,8
1,221,0,3
1,222,0,0
1,223,0,2
1,230,0,1
1,231,0,5
1,233,0,0
1,236,0,5
1,239,0,3
1,240,0,7
1,241,0,5
1,242,0,4
1,245,0,3
1,247,0,6
1,251,0,3
1,252,0,7
1,253,0,6
1,255,0,0
1,256,0,7
1,259,0,0
1,260,0,6
1,261,0,9
1,262,0,0
1,266,0,2
1,267,0,5
1,269,0,6
1,271,0,3
1,274,0,0
1,275,0,7
1,278,0,1
1,281,0,6
1,282,0,2
1,284,0,9
1,286,0,1
1,287,0,4
1,290,0,8
1,292,0,5
1,294,0,8
1,297,0,2
1,299,0,3
1,301,0,2
1,303,0,7
1,304,0,7
1,307,0,6
1,308,0,0
1,309,0,2
1,310,0,9
1,312,0,2
1,313,0,2
1,314,0,4
1,315,0,6
1,318,0,8
1,320,0,3
1,324,0,2
1,328,0,8
1,329,0,1
1,330,0,3
1,334,0,8
1,335,0,3
1,336,0,1
1,338,0,1
1,340,0,8
1,341,0,7
1,343,0,6
1,349,0,6
1,350,0,8
1,354,0,7
1,355,0,2
1,360,0,6
1,361,0,2
1,364,0,0
1,367,0,0
1,369,0,5
1,370,0,7
1,371,0,2
1,372,0,1
1,375,0,3
1,376,0,9
1,379,0,5
1,381,0,2
1,382,0,5
1,383,0,6
1,384,0,6
1,385,0,3
1,389,0,4
1,390,0,9
1,391,0,9
1,394,0,1
1,395,0,6
1,397,0,1
1,398,0,1
1,399,0,0
1,400,0,1
1,404,0,6
1,407,0,6
1,411,0,3
1,413,0,8
1,415,0,7
1,418,0,1
1,428,0,0
1,429,0,8
1,432,0,7
1,433,0,0
1,435,0,7
1,436,0,2
1,437,0,0
1,439,0,0
1,442,0,5
1,444,0,3
1,447,0,5
1,448,0,9
1,450,0,3
1,457,0,1
1,459,0,0
1,460,0,5
1,461,0,9
1,467,0,1
1,468,0,3
1,469,0,3
1,473,0,2
1,474,0,3
1,477,0,9
1,478,0,9
1,479,0,3
1,481,0,4
1,482,0,0
1,483,0,7
1,485,0,3
1,486,0,7
1,490,0,0
1,492,0,7
1,493,0,4
1,494,0,3
1,495,0,3
1,496,0,5
1,498,0,8
1,499,0,3
2,3,5,9
2,6,5,1
2,8,5,6
2,10,5,4
2,11,5,3
2,12,5,3
2,13,5,0
2,15,5,6
2,19,5,6
2,21,5,0
2,22,5,1
2,24,5,0
2,26,5,6
2,27,5,3
2,29,5,5
2,30,5,0
2,32,5,8
2,34,5,3
2,35,5,4
2,36,5,0
2,37,5,3
2,39,5,1
2,40,5,0
2,42,5,0
2,43,5,1
2,44,5,9
2,45,5,8
2,47,5,3
2,49,5,4
2,51,5,3
2,52,5,6
2,53,5,2
2,55,5,1
2,58,5,6
2,59,5,0
2,61,5,4
2,62,5,6
2,63,5,1
2,65,5,5
2,67,5,7
2,68,5,8
2,70,5,7
2,71,5,8
2,73,5,5
2,74,5,1
2,76,5,4
2,77,5,1
2,79,5,8
2,85,5,1
2,86,5,5
2,87,5,8
2,88,5,3
2,89,5,9
2,90,5,8
2,91,5,5
2,92,5,9
2,94,5,1
2,95,5,5
2,97,5,0
2,99,5,6
2,100,5,3
2,106,5,4
2,107,5,6
2,108,5,9
2,115,5,0
2,117,5,5
2,119,5,3
2,120,5,7
2,122,5,9
2,131,5,2
2,134,5,6
2,135,5,6
2,137,5,3
2,138,5,9
2,139,5,2
2,142,5,3
2,143,5,0
2,145,5,6
2,147,5,9
2,148,5,9
2,149,5,5
2,150,5,4
2,154,5,6
2,155,5,0
2,156,5,8
2,159,5,6
2,161,5,5
2,162,5,7
2,163,5,9
2,165,5,1
2,166,5,5
2,167,5,5
2,169,5,4
2,171,5,8
2,172,5,6
2,174,5,2
2,175,5,9
2,176,5,6
2,177,5,0
2,178,5,7
2,179,5,2
2,180,5,5
2,182,5,0
2,183,5,9
2,185,5,7
2,188,5,9
2,190,5,8
2,191,5,4
2,197,5,7
2,198,5,7
2,199,5,5
2,200,5,9
2,205,5,0
2,207,5,8
2,209,5,9
2,210,5,9
2,211,5,9
2,212,5,3
2,213,5,6
2,214,5,7
2,215,5,6
2,216,5,9
2,217,5,1
2,219,5,4
2,223,5,2
2,224,5,7
2,225,5,5
2,229,5,3
2,231,5,5
2,234,5,4
2,241,5,5
2,242,5,4
2,243,5,1
2,244,5,2
2,245,5,3
2,246,5,5
2,247,5,6
2,248,5,6
2,249,5,6
2,250,5,7
2,252,5,7
2,256,5,7
2,257,5,6
2,261,5,9
2,264,5,2
2,265,5,4
2,266,5,2
2,267,5,5
2,268,5,0
2,270,5,7
2,272,5,8
2,273,5,4
2,274,5,0
2,275,5,7
2,276,5,0
2,277,5,5
2,278,5,1
2,279,5,3
2,280,5,5
2,281,5,6
2,282,5,2
2,286,5,1
2,287,5,4
2,289,5,4
2,294,5,8
2,296,5,9
2,297,5,2
2,300,5,3
2,303,5,7
2,304,5,7
2,311,5,2
2,313,5,2
2,314,5,4
2,315,5,6
2,316,5,8
2,317,5,9
2,319,5,9
2,320,5,3
2,321,5,6
2,322,5,9
2,324,5,2
2,328,5,8
2,329,5,1
2,331,5,1
2,332,5,5
2,333,5,7
2,337,5,8
2,338,5,1
2,339,5,7
2,341,5,7
2,342,5,8
2,343,5,6
2,345,5,6
2,346,5,8
2,347,5,7
2,349,5,6
2,351,5,9
2,354,5,7
2,355,5,2
2,356,5,2
2,357,5,3
2,361,5,2
2,362,5,7
2,366,5,0
2,369,5,5
2,371,5,2
2,373,5,7
2,374,5,1
2,376,5,9
2,377,5,3
2,378,5,0
2,379,5,5
2,380,5,9
2,381,5,2
2,382,5,5
2,384,5,6
2,385,5,3
2,390,5,9
2,391,5,9
2,394,5,1
2,396,5,2
2,397,5,1
2,398,5,1
2,399,5,0
2,401,5,9
2,403,5,8
2,404,5,6
2,405,5,4
2,406,5,7
2,407,5,6
2,408,5,9
2,410,5,9
2,411,5,3
2,414,5,4
2,415,5,7
2,416,5,6
2,417,5,7
2,418,5,1
2,420,5,8
2,421,5,8
2,423,5,7
2,425,5,8
2,426,5,5
2,427,5,7
2,430,5,6
2,431,5,6
2,434,5,7
2,435,5,7
2,437,5,0
2,442,5,5
2,443,5,6
2,444,5,3
2,446,5,6
2,448,5,9
2,452,5,0
2,454,5,3
2,455,5,0
2,456,5,7
2,457,5,1
2,458,5,5
2,460,5,5
2,462,5,5
2,463,5,9
2,465,5,7
2,466,5,5
2,469,5,3
2,470,5,4
2,471,5,8
2,475,5,5
2,477,5,9
2,478,5,9
2,480,5,6
2,483,5,7
2,486,5,7
2,487,5,9
2,488,5,4
2,490,5,0
2,492,5,7
2,494,5,3
2,495,5,3
2,497,5,4
2,499,5,3
3,6,9,1
3,8,9,6
3,12,9,3
3,15,9,6
3,16,9,0
3,18,9,4
3,19,9,6
3,24,9,0
3,27,9,3
3,28,9,3
3,30,9,0
3,31,9,1
3,33,9,8
3,34,9,3
3,36,9,0
3,37,9,3
3,38,9,6
3,40,9,0
3,42,9,0
3,43,9,1
3,45,9,8
3,47,9,3
3,48,9,4
3,51,9,3
3,52,9,6
3,53,9,2
3,54,9,2
3,61,9,4
3,62,9,6
3,63,9,1
3,64,9,2
3,66,9,8
3,68,9,8
3,72,9,3
3,73,9,5
3,76,9,4
3,79,9,8
3,82,9,2
3,84,9,9
3,88,9,3
3,90,9,8
3,92,9,9
3,93,9,4
3,94,9,1
3,95,9,5
3,96,9,6
3,98,9,6
3,102,9,3
3,105,9,1
3,106,9,4
3,107,9,6
3,108,9,9
3,109,9,2
3,111,9,7
3,118,9,8
3,119,9,3
3,124,9,7
3,126,9,4
3,128,9,0
3,130,9,5
3,133,9,1
3,134,9,6
3,135,9,6
3,136,9,0
3,137,9,3
3,138,9,9
3,140,9,1
3,145,9,6
3,146,9,1
3,148,9,9
3,149,9,5
3,150,9,4
3,151,9,7
3,152,9,0
3,153,9,0
3,154,9,6
3,156,9,8
3,158,9,9
3,159,9,6
3,161,9,5
3,163,9,9
3,164,9,3
3,165,9,1
3,166,9,5
3,167,9,5
3,169,9,4
3,171,9,8
3,172,9,6
3,173,9,5
3,174,9,2
3,177,9,0
3,178,9,7
3,180,9,5
3,184,9,7
3,185,9,7
3,187,9,3
3,189,9,8
3,190,9,8
3,192,9,2
3,195,9,5
3,197,9,7
3,199,9,5
3,202,9,0
3,203,9,8
3,204,9,0
3,205,9,0
3,206,9,9
3,207,9,8
3,208,9,2
3,209,9,9
3,211,9,9
3,212,9,3
3,214,9,7
3,217,9,1
3,218,9,9
3,220,9,8
3,222,9,0
3,224,9,7
3,231,9,5
3,232,9,4
3,239,9,3
3,243,9,1
3,245,9,3
3,247,9,6
3,248,9,6
3,249,9,6
3,250,9,7
3,252,9,7
3,257,9,6
3,258,9,5
3,259,9,0
3,260,9,6
3,262,9,0
3,263,9,6
3,264,9,2
3,266,9,2
3,267,9,5
3,273,9,4
3,274,9,0
3,276,9,0
3,278,9,1
3,279,9,3
3,280,9,5
3,282,9,2
3,283,9,2
3,286,9,1
3,287,9,4
3,289,9,4
3,294,9,8
3,295,9,2
3,297,9,2
3,298,9,4
3,299,9,3
3,300,9,3
3,301,9,2
3,302,9,2
3,305,9,1
3,308,9,0
3,310,9,9
3,312,9,2
3,313,9,2
3,315,9,6
3,317,9,9
3,320,9,3
3,323,9,4
3,324,9,2
3,326,9,3
3,329,9,1
3,331,9,1
3,335,9,3
3,337,9,8
3,340,9,8
3,341,9,7
3,346,9,8
3,348,9,3
3,350,9,8
3,352,9,3
3,353,9,4
3,356,9,2
3,357,9,3
3,358,9,0
3,359,9,2
3,360,9,6
3,361,9,2
3,362,9,7
3,367,9,0
3,371,9,2
3,372,9,1
3,374,9,1
3,375,9,3
3,376,9,9
3,377,9,3
3,378,9,0
3,379,9,5
3,382,9,5
3,384,9,6
3,387,9,8
3,388,9,6
3,389,9,4
3,390,9,9
3,391,9,9
3,394,9,1
3,395,9,6
3,397,9,1
3,399,9,0
3,400,9,1
3,401,9,9
3,404,9,6
3,405,9,4
3,406,9,7
3,407,9,6
3,409,9,0
3,410,9,9
3,413,9,8
3,414,9,4
3,416,9,6
3,418,9,1
3,419,9,0
3,420,9,8
3,422,9,9
3,423,9,7
3,424,9,0
3,425,9,8
3,426,9,5
3,428,9,0
3,429,9,8
3,431,9,6
3,432,9,7
3,433,9,0
3,434,9,7
3,435,9,7
3,438,9,8
3,442,9,5
3,443,9,6
3,444,9,3
3,447,9,5
3,449,9,0
3,450,9,3
3,455,9,0
3,457,9,1
3,460,9,5
3,463,9,9
3,465,9,7
3,466,9,5
3,467,9,1
3,468,9,3
3,470,9,4
3,471,9,8
3,472,9,8
3,473,9,2
3,475,9,5
3,476,9,2
3,478,9,9
3,479,9,3
3,480,9,6
3,483,9,7
3,485,9,3
3,488,9,4
3,489,9,1
3,490,9,0
3,491,9,4
3,494,9,3
3,496,9,5
3,497,9,4
3,498,9,8
4,5,5,8
4,6,5,1
4,7,5,3
4,10,5,4
4,13,5,0
4,14,5,8
4,15,5,6
4,17,5,7
4,18,5,4
4,19,5,6
4,24,5,0
4,25,5,4
4,30,5,0
4,31,5,1
4,32,5,8
4,33,5,8
4,35,5,4
4,37,5,3
4,44,5,9
4,45,5,8
4,46,5,8
4,50,5,1
4,52,5,6
4,53,5,2
4,57,5,9
4,61,5,4
4,63,5,1
4,65,5,5
4,68,5,8
4,70,5,7
4,71,5,8
4,73,5,5
4,77,5,1
4,78,5,9
4,79,5,8
4,80,5,8
4,81,5,6
4,82,5,2
4,83,5,6
4,85,5,1
4,88,5,3
4,89,5,9
4,91,5,5
4,92,5,9
4,93,5,4
4,96,5,6
4,97,5,0
4,98,5,6
4,99,5,6
4,101,5,4
4,104,5,4
4,108,5,9
4,109,5,2
4,111,5,7
4,113,5,1
4,115,5,0
4,117,5,5
4,118,5,8
4,123,5,8
4,125,5,4
4,127,5,0
4,128,5,0
4,129,5,3
4,133,5,1
4,134,5,6
4,135,5,6
4,137,5,3
4,138,5,9
4,139,5,2
4,141,5,3
4,146,5,1
4,147,5,9
4,148,5,9
4,149,5,5
4,150,5,4
4,152,5,0
4,153,5,0
4,154,5,6
4,155,5,0
4,158,5,9
4,164,5,3
4,165,5,1
4,167,5,5
4,168,5,1
4,169,5,4
4,170,5,2
4,171,5,8
4,175,5,9
4,176,5,6
4,177,5,0
4,178,5,7
4,181,5,9
4,182,5,0
4,183,5,9
4,187,5,3
4,189,5,8
4,194,5,9
4,195,5,5
4,196,5,8
4,197,5,7
4,199,5,5
4,201,5,1
4,203,5,8
4,206,5,9
4,208,5,2
4,209,5,9
4,211,5,9
4,214,5,7
4,216,5,9
4,217,5,1
4,219,5,4
4,220,5,8
4,222,5,0
4,225,5,5
4,229,5,3
4,230,5,1
4,234,5,4
4,235,5,8
4,236,5,5
4,237,5,0
4,238,5,7
4,239,5,3
4,240,5,7
4,241,5,5
4,242,5,4
4,244,5,2
4,245,5,3
4,246,5,5
4,247,5,6
4,249,5,6
4,250,5,7
4,251,5,3
4,252,5,7
4,253,5,6
4,258,5,5
4,259,5,0
4,260,5,6
4,261,5,9
4,262,5,0
4,263,5,6
4,264,5,2
4,265,5,4
4,266,5,2
4,267,5,5
4,268,5,0
4,269,5,6
4,272,5,8
4,273,5,4
4,274,5,0
4,276,5,0
4,279,5,3
4,280,5,5
4,284,5,9
4,285,5,6
4,287,5,4
4,288,5,9
4,291,5,8
4,293,5,4
4,295,5,2
4,296,5,9
4,298,5,4
4,299,5,3
4,302,5,2
4,306,5,7
4,308,5,0
4,309,5,2
4,313,5,2
4,314,5,4
4,316,5,8
4,320,5,3
4,322,5,9
4,323,5,4
4,324,5,2
4,327,5,2
4,329,5,1
4,331,5,1
4,333,5,7
4,336,5,1
4,338,5,1
4,341,5,7
4,344,5,2
4,345,5,6
4,346,5,8
4,347,5,7
4,348,5,3
4,351,5,9
4,352,5,3
4,355,5,2
4,356,5,2
4,357,5,3
4,358,5,0
4,359,5,2
4,361,5,2
4,363,5,0
4,364,5,0
4,365,5,2
4,366,5,0
4,367,5,0
4,368,5,4
4,369,5,5
4,371,5,2
4,372,5,1
4,374,5,1
4,378,5,0
4,380,5,9
4,381,5,2
4,382,5,5
4,385,5,3
4,386,5,4
4,387,5,8
4,389,5,4
4,390,5,9
4,392,5,7
4,394,5,1
4,396,5,2
4,399,5,0
4,400,5,1
4,402,5,6
4,403,5,8
4,404,5,6
4,405,5,4
4,407,5,6
4,412,5,8
4,417,5,7
4,419,5,0
4,420,5,8
4,421,5,8
4,422,5,9
4,423,5,7
4,425,5,8
4,426,5,5
4,427,5,7
4,428,5,0
4,429,5,8
4,435,5,7
4,436,5,2
4,437,5,0
4,438,5,8
4,439,5,0
4,440,5,9
4,441,5,2
4,442,5,5
4,445,5,4
4,446,5,6
4,448,5,9
4,450,5,3
4,451,5,1
4,452,5,0
4,454,5,3
4,455,5,0
4,456,5,7
4,457,5,1
4,458,5,5
4,461,5,9
4,462,5,5
4,463,5,9
4,466,5,5
4,468,5,3
4,470,5,4
4,472,5,8
4,475,5,5
4,477,5,9
4,478,5,9
4,480,5,6
4,483,5,7
4,486,5,7
4,489,5,1
4,490,5,0
4,491,5,4
4,492,5,7
4,493,5,4
4,494,5,3
4,495,5,3
4,496,5,5
4,497,5,4
4,499,5,3
5,6,8,1
5,10,8,4
5,16,8,0
5,18,8,4
5,23,8,5
5,25,8,4
5,26,8,6
5,27,8,3
5,30,8,0
5,31,8,1
5,32,8,8
5,34,8,3
5,36,8,0
5,37,8,3
5,41,8,2
5,43,8,1
5,44,8,9
5,45,8,8
5,46,8,8
5,47,8,3
5,48,8,4
5,49,8,4
5,51,8,3
5,54,8,2
5,55,8,1
5,57,8,9
5,58,8,6
5,60,8,4
5,61,8,4
5,63,8,1
5,64,8,2
5,66,8,8
5,68,8,8
5,70,8,7
5,72,8,3
5,74,8,1
5,75,8,9
5,77,8,1
5,78,8,9
5,79,8,8
5,81,8,6
5,84,8,9
5,85,8,1
5,86,8,5
5,87,8,8
5,89,8,9
5,93,8,4
5,94,8,1
5,95,8,5
5,96,8,6
5,98,8,6
5,99,8,6
5,101,8,4
5,104,8,4
5,106,8,4
5,107,8,6
5,108,8,9
5,110,8,7
5,113,8,1
5,114,8,7
5,117,8,5
5,118,8,8
5,121,8,1
5,123,8,8
5,124,8,7
5,125,8,4
5,126,8,4
5,134,8,6
5,135,8,6
5,136,8,0
5,138,8,9
5,139,8,2
5,142,8,3
5,143,8,0
5,144,8,9
5,146,8,1
5,150,8,4
5,153,8,0
5,158,8,9
5,159,8,6
5,160,8,9
5,161,8,5
5,162,8,7
5,164,8,3
5,166,8,5
5,167,8,5
5,169,8,4
5,170,8,2
5,172,8,6
5,173,8,5
5,174,8,2
5,175,8,9
5,177,8,0
5,178,8,7
5,182,8,0
5,186,8,9
5,187,8,3
5,188,8,9
5,189,8,8
5,191,8,4
5,194,8,9
5,197,8,7
5,199,8,5
5,202,8,0
5,203,8,8
5,205,8,0
5,208,8,2
5,210,8,9
5,211,8,9
5,214,8,7
5,215,8,6
5,216,8,9
5,217,8,1
5,219,8,4
5,220,8,8
5,221,8,3
5,224,8,7
5,225,8,5
5,226,8,7
5,228,8,2
5,229,8,3
